,ibns_20u,vgs_m1,name,type,time,OK
0,20.514680000000002,0.7579687,tran_LayGtKfsTlVt,Lay,Fri Jan 23 13:51:47 2026,True
1,20.70613,0.685388,tran_LayGtKsfTlVt,Lay,Fri Jan 23 13:51:45 2026,True
2,20.684350000000002,0.6953347,tran_LayGtKffTlVt,Lay,Fri Jan 23 13:51:43 2026,True
3,20.53668,0.7480513,tran_LayGtKssTlVt,Lay,Fri Jan 23 13:51:41 2026,True
4,20.57141,0.6838284,tran_LayGtKfsThVt,Lay,Fri Jan 23 13:51:39 2026,True
5,20.75789,0.6037314,tran_LayGtKsfThVt,Lay,Fri Jan 23 13:51:37 2026,True
6,20.73918,0.61373,tran_LayGtKffThVt,Lay,Fri Jan 23 13:51:35 2026,True
7,20.59131,0.6738161,tran_LayGtKssThVt,Lay,Fri Jan 23 13:51:33 2026,True
